record,Bullied_on_school_property_in_past_12_months,Bullied_not_on_school_property_in_past_12_months,Cyber_bullied_in_past_12_months,Custom_Age,Sex,Physically_attacked,Physical_fighting,Felt_lonely,Close_friends,Other_students_kind_and_helpful,Parents_understand_problems,Were_underweight,Were_overweight,score
2072,1,1,1,16 years old,0,0 times,0 times,Sometimes,3 or more,Always,Always,0,0,92
2075,0,0,1,14 years old,1,0 times,0 times,Never,3 or more,Most of the time,Always,0,1,33
2078,0,0,1,13 years old,1,1 time,1 to 3 times,Most of the time,2,Rarely,Never,0,1,41
2080,1,1,1,13 years old,1,0 times,0 times,Never,3 or more,Rarely,Never,0,0,95
2081,0,0,0,13 years old,0,0 times,0 times,Sometimes,3 or more,Sometimes,Most of the time,0,0,5
2082,1,0,0,14 years old,1,0 times,0 times,Never,3 or more,Rarely,Never,0,0,35
2087,0,0,0,14 years old,1,0 times,0 times,Never,3 or more,Never,Never,0,1,8
2088,1,0,1,13 years old,0,0 times,0 times,Most of the time,3 or more,Rarely,Most of the time,0,1,65
2094,0,0,0,13 years old,0,0 times,0 times,Rarely,1,Never,Most of the time,0,0,8
2097,0,0,0,13 years old,0,0 times,0 times,Never,3 or more,Always,Always,0,0,0
2101,1,1,1,14 years old,1,6 or 7 times,4 to 7 times,Sometimes,3 or more,Most of the time,Rarely,0,0,104
2102,1,0,0,15 years old,1,4 or 5 times,0 times,Rarely,3 or more,Most of the time,Always,0,0,37
2105,0,0,0,14 years old,0,1 time,0 times,Sometimes,3 or more,Always,Sometimes,0,0,5
2107,0,0,0,15 years old,1,0 times,0 times,Rarely,3 or more,Sometimes,Always,0,1,3
2109,0,0,0,15 years old,0,0 times,0 times,Sometimes,3 or more,Always,Always,0,1,2
2110,0,0,0,14 years old,0,0 times,0 times,Always,3 or more,Rarely,Never,0,0,9
2111,0,1,0,14 years old,1,10 or more times,0 times,Never,0,Never,Most of the time,0,1,43
2113,0,0,0,14 years old,0,0 times,0 times,Sometimes,3 or more,Most of the time,Sometimes,0,0,7
2115,0,0,0,14 years old,1,0 times,0 times,Never,3 or more,Always,Never,0,1,4
2116,0,0,0,14 years old,0,0 times,0 times,Never,3 or more,Sometimes,Always,0,0,2
2118,0,0,0,14 years old,1,0 times,0 times,Never,3 or more,Sometimes,Most of the time,0,0,3
2120,0,0,0,14 years old,0,0 times,0 times,Sometimes,3 or more,Most of the time,Most of the time,0,0,6
2121,1,0,0,14 years old,1,0 times,0 times,Never,1,Most of the time,Always,0,0,35
2122,0,0,0,14 years old,0,0 times,0 times,Never,3 or more,Most of the time,Always,0,0,3
